key,context,en,de,es,fr,it,pt-br,ja,ko,zh-hans,zh-hant
home.reviews.summary2,Summary text | Shared review quote summary,"Unbelievably vibrant and charming, with a creative cast of characters and lovely vibes.",Unglaublich lebendig und charmant – mit einer kreativen Besetzung und großartiger Atmosphäre.,"Increíblemente vibrante y encantador, con un elenco creativo de personajes y una atmósfera maravillosa.","Incroyablement vivant et charmant, avec une galerie de personnages créative et une ambiance délicieuse.","Incredibilmente vivace e affascinante, con un cast creativo di personaggi e un’atmosfera deliziosa.","Incrivelmente vibrante e encantador, com um elenco criativo de personagens e uma atmosfera deliciosa.",驚くほど鮮やかで魅力的。個性豊かなキャラクターたちと心地よい空気感が光る。,"믿기 어려울 만큼 생동감 있고 매력적이며, 개성 넘치는 캐릭터와 사랑스러운 분위기가 돋보입니다.",色彩鲜活、魅力十足，角色阵容极具创意，整体氛围也非常迷人。,色彩鮮活、魅力十足，角色陣容極具創意，整體氛圍也非常迷人。
home.reviews.summary3,Summary text | Shared review quote summary,"Quirky, whimsical, and incredibly vibrant, with colorful, unforgettable characters.","Skurril, verspielt und unglaublich lebendig – mit farbenfrohen, unvergesslichen Charakteren.","Extravagante, encantador y sumamente vibrante, con personajes coloridos e inolvidables.","Décalé, fantaisiste et incroyablement vivant, avec des personnages hauts en couleur et inoubliables.","Stravagante, fantasioso e incredibilmente vivace, con personaggi colorati e indimenticabili.","Excêntrico, encantador e incrivelmente vibrante, com personagens coloridos e inesquecíveis.",ユニークで遊び心があり、とびきり鮮やか。色彩豊かで忘れがたいキャラクターたちが魅力。,"기발하고 유쾌하며 놀라울 만큼 생동감 넘치고, 다채롭고 잊을 수 없는 캐릭터들이 가득합니다.",古灵精怪、充满奇趣且活力十足，角色们色彩鲜明、令人难忘。,古靈精怪、充滿奇趣且活力十足，角色們色彩鮮明、令人難忘。
home.reviews.summary4,Summary text | Shared review quote summary,{Sushi Ben} is my favorite VR experience. It's charming and in a class of its own.,{Sushi Ben} ist mein liebstes VR-Erlebnis. Es ist charmant und absolut einzigartig.,{Sushi Ben} es mi experiencia de VR favorita. Es encantador y está en una categoría propia.,{Sushi Ben} est mon expérience VR préférée. C’est charmant et vraiment à part.,{Sushi Ben} è la mia esperienza VR preferita. È affascinante e davvero unica nel suo genere.,{Sushi Ben} é minha experiência de VR favorita. É encantador e está em uma categoria própria.,{Sushi Ben} は私のお気に入りのVR体験です。魅力にあふれ、唯一無二の作品です。,"{Sushi Ben}는 제가 가장 좋아하는 VR 경험입니다. 매력적이고, 그 자체로 독보적인 작품입니다.",{Sushi Ben} 是我最喜欢的 VR 体验。它魅力十足，而且独树一帜。,{Sushi Ben} 是我最喜歡的 VR 體驗。它魅力十足，而且獨樹一幟。
home.soundtrack.title,Heading | Homepage soundtrack section,Listen to the Soundtrack,Soundtrack anhören,Escuchar banda sonora,Écouter la bande originale,Ascolta la colonna sonora,Ouvir trilha sonora,サウンドトラックを聴く,사운드트랙 듣기,聆听原声带,聆聽原聲帶
home.soundtrack.cta,Text | Shared site copy,Listen on Spotify,Auf Spotify anhören,Escuchar en Spotify,Écouter sur Spotify,Ascolta su Spotify,Ouvir no Spotify,Spotifyで聴く,Spotify에서 듣기,在 Spotify 上收听,在 Spotify 上收聽
home.support.discord.title,Heading | Homepage Discord support card,Need help fast? Join our Discord,Brauchst du schnell Hilfe? Tritt unserem Discord bei,¿Necesitas ayuda rápido? Únete a nuestro Discord,Besoin d’aide rapidement ? Rejoignez notre Discord,Hai bisogno di aiuto in fretta? Unisciti al nostro Discord,Precisa de ajuda rápido? Entre no nosso Discord,すぐに助けが必要ですか？ Discordに参加しよう,빠른 도움이 필요하신가요? Discord에 참여하세요,需要快速帮助？加入我们的 Discord,需要快速幫助？加入我們的 Discord
home.support.discord.body,Body text | Homepage Discord support card,"Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Erhalte die schnellsten Antworten von der Community und dem Team. Teile Screenshots, Fehlerberichte und Updates in Echtzeit.","Obtén las respuestas más rápidas de la comunidad y del equipo. Comparte capturas, informes de errores y novedades en tiempo real.","Obtenez les réponses les plus rapides de la communauté et de l’équipe. Partagez captures d’écran, signalements de bugs et mises à jour en temps réel.","Ricevi le risposte più rapide dalla community e dal team. Condividi screenshot, segnalazioni di bug e aggiornamenti in tempo reale.","Receba as respostas mais rápidas da comunidade e da equipe. Compartilhe capturas de tela, relatos de bugs e atualizações em tempo real.",コミュニティや開発チームから、いちばん早く回答を受け取れます。スクリーンショットや不具合報告、最新情報もリアルタイムで共有できます。,"커뮤니티와 팀으로부터 가장 빠르게 답변을 받을 수 있습니다. 스크린샷, 버그 제보, 업데이트를 실시간으로 공유하세요.",从社区和团队那里获得最快的答复。实时分享截图、问题反馈和最新动态。,從社群與團隊那裡獲得最快的回覆。即時分享截圖、錯誤回報與最新動態。
home.support.discord.cta,Button label | Homepage Discord support card,Join Discord,Discord beitreten,Unirse a Discord,Rejoindre Discord,Unisciti a Discord,Entrar no Discord,Discordに参加,디스코드 참여,加入 Discord,加入 Discord
home.support.email.title,Heading | Homepage email support card,Prefer email? Send us a message,Lieber per E-Mail? Schreib uns eine Nachricht,¿Prefieres el correo? Envíanos un mensaje,Vous préférez l’e-mail ? Envoyez-nous un message,Preferisci l’e-mail? Inviaci un messaggio,Prefere e-mail? Envie uma mensagem,メールをご希望ですか？ メッセージをお送りください,이메일이 더 편하신가요? 메시지를 보내 주세요,更喜欢邮件联系？给我们发消息,比較喜歡用電子郵件？給我們傳送訊息
home.support.email.body,Body text | Homepage email support card,Use the form and we will route your message to the right team member as quickly as possible.,"Nutze das Formular, und wir leiten deine Nachricht so schnell wie möglich an die richtige Ansprechperson weiter.",Usa el formulario y enviaremos tu mensaje al miembro adecuado del equipo lo antes posible.,Utilisez le formulaire et nous transmettrons votre message au bon membre de l’équipe aussi vite que possible.,Usa il modulo e indirizzeremo il tuo messaggio al membro giusto del team il prima possibile.,Use o formulário e encaminharemos sua mensagem para a pessoa certa da equipe o mais rápido possível.,フォームをご利用いただければ、できるだけ早く適切な担当メンバーにおつなぎします。,양식을 이용해 주시면 가능한 한 빠르게 적절한 팀 담당자에게 전달하겠습니다.,使用表单后，我们会尽快将你的消息转交给合适的团队成员。,使用表單後，我們會盡快將你的訊息轉交給合適的團隊成員。
image.hero.minami.alt,Alt text | Homepage hero artwork,Minami from {Sushi Ben},Minami aus {Sushi Ben},Minami de {Sushi Ben},Minami de {Sushi Ben},Minami di {Sushi Ben},Minami de {Sushi Ben},{Sushi Ben} のミナミ,{Sushi Ben}의 미나미,{Sushi Ben} 的 Minami,{Sushi Ben} 的 Minami
image.sticker.botan.alt,Alt text | 404 page Botan sticker art,Botan sticker art,Botan-Sticker-Artwork,Ilustración adhesiva de Botan,Illustration sticker de Botan,Illustrazione adesiva di Botan,Arte de adesivo da Botan,ボタンのステッカーアート,보탄 스티커 아트,Botan 贴纸插画,Botan 貼紙插畫
image.logo.horizontal.alt,Alt text | Horizontal Sushi Ben logo image,{Sushi Ben} horizontal logo,Horizontales Logo von {Sushi Ben},Logotipo horizontal de {Sushi Ben},Logo horizontal de {Sushi Ben},Logo orizzontale di {Sushi Ben},Logo horizontal de {Sushi Ben},{Sushi Ben} 横長ロゴ,{Sushi Ben} 가로형 로고,{Sushi Ben} 横版标志,{Sushi Ben} 橫式標誌
image.logo.horizontal.open,Aria label | Open horizontal Sushi Ben logo,Open logo horizontal,Horizontales Logo öffnen,Abrir logotipo horizontal,Ouvrir le logo horizontal,Apri logo orizzontale,Abrir logo horizontal,横長ロゴを開く,가로형 로고 열기,打开横版标志,打開橫式標誌
image.logo.primary.alt,Alt text | Primary Sushi Ben logo image,{Sushi Ben} primary logo,Primäres Logo von {Sushi Ben},Logotipo principal de {Sushi Ben},Logo principal de {Sushi Ben},Logo principale di {Sushi Ben},Logo principal de {Sushi Ben},{Sushi Ben} メインロゴ,{Sushi Ben} 기본 로고,{Sushi Ben} 主标志,{Sushi Ben} 主標誌
image.logo.primary.open,Aria label | Open primary Sushi Ben logo,Open logo primary,Primäres Logo öffnen,Abrir logotipo principal,Ouvrir le logo principal,Apri logo principale,Abrir logo principal,メインロゴを開く,기본 로고 열기,打开主标志,打開主標誌
image.logo.vertical.alt,Alt text | Vertical Sushi Ben logo image,{Sushi Ben} vertical logo,Vertikales Logo von {Sushi Ben},Logotipo vertical de {Sushi Ben},Logo vertical de {Sushi Ben},Logo verticale di {Sushi Ben},Logo vertical de {Sushi Ben},{Sushi Ben} 縦長ロゴ,{Sushi Ben} 세로형 로고,{Sushi Ben} 竖版标志,{Sushi Ben} 直式標誌
image.logo.vertical.open,Aria label | Open vertical Sushi Ben logo,Open logo vertical,Vertikales Logo öffnen,Abrir logotipo vertical,Ouvrir le logo vertical,Apri logo verticale,Abrir logo vertical,縦長ロゴを開く,세로형 로고 열기,打开竖版标志,打開直式標誌
image.screenshot.1.alt,Alt text | Screenshot image,{Sushi Ben} screenshot 1,{Sushi Ben} Screenshot 1,Captura 1 de {Sushi Ben},Capture d’écran 1 de {Sushi Ben},Screenshot 1 di {Sushi Ben},Captura de tela 1 de {Sushi Ben},{Sushi Ben} スクリーンショット1,{Sushi Ben} 스크린샷 1,{Sushi Ben} 截图 1,{Sushi Ben} 截圖 1
image.screenshot.1.open,Aria label | Open screenshot button,Open screenshot 1,Screenshot 1 öffnen,Abrir captura 1,Ouvrir la capture 1,Apri screenshot 1,Abrir captura 1,スクリーンショット1を開く,스크린샷 1 열기,打开截图 1,打開截圖 1
image.screenshot.2.alt,Alt text | Screenshot image,{Sushi Ben} screenshot 2,{Sushi Ben} Screenshot 2,Captura 2 de {Sushi Ben},Capture d’écran 2 de {Sushi Ben},Screenshot 2 di {Sushi Ben},Captura de tela 2 de {Sushi Ben},{Sushi Ben} スクリーンショット2,{Sushi Ben} 스크린샷 2,{Sushi Ben} 截图 2,{Sushi Ben} 截圖 2
image.screenshot.2.open,Aria label | Open screenshot button,Open screenshot 2,Screenshot 2 öffnen,Abrir captura 2,Ouvrir la capture 2,Apri screenshot 2,Abrir captura 2,スクリーンショット2を開く,스크린샷 2 열기,打开截图 2,打開截圖 2
image.screenshot.3.alt,Alt text | Screenshot image,{Sushi Ben} screenshot 3,{Sushi Ben} Screenshot 3,Captura 3 de {Sushi Ben},Capture d’écran 3 de {Sushi Ben},Screenshot 3 di {Sushi Ben},Captura de tela 3 de {Sushi Ben},{Sushi Ben} スクリーンショット3,{Sushi Ben} 스크린샷 3,{Sushi Ben} 截图 3,{Sushi Ben} 截圖 3
image.screenshot.3.open,Aria label | Open screenshot button,Open screenshot 3,Screenshot 3 öffnen,Abrir captura 3,Ouvrir la capture 3,Apri screenshot 3,Abrir captura 3,スクリーンショット3を開く,스크린샷 3 열기,打开截图 3,打開截圖 3
image.screenshot.4.alt,Alt text | Screenshot image,{Sushi Ben} screenshot 4,{Sushi Ben} Screenshot 4,Captura 4 de {Sushi Ben},Capture d’écran 4 de {Sushi Ben},Screenshot 4 di {Sushi Ben},Captura de tela 4 de {Sushi Ben},{Sushi Ben} スクリーンショット4,{Sushi Ben} 스크린샷 4,{Sushi Ben} 截图 4,{Sushi Ben} 截圖 4
image.screenshot.4.open,Aria label | Open screenshot button,Open screenshot 4,Screenshot 4 öffnen,Abrir captura 4,Ouvrir la capture 4,Apri screenshot 4,Abrir captura 4,スクリーンショット4を開く,스크린샷 4 열기,打开截图 4,打開截圖 4
image.screenshot.5.alt,Alt text | Screenshot image,{Sushi Ben} screenshot 5,{Sushi Ben} Screenshot 5,Captura 5 de {Sushi Ben},Capture d’écran 5 de {Sushi Ben},Screenshot 5 di {Sushi Ben},Captura de tela 5 de {Sushi Ben},{Sushi Ben} スクリーンショット5,{Sushi Ben} 스크린샷 5,{Sushi Ben} 截图 5,{Sushi Ben} 截圖 5
image.screenshot.5.open,Aria label | Open screenshot button,Open screenshot 5,Screenshot 5 öffnen,Abrir captura 5,Ouvrir la capture 5,Apri screenshot 5,Abrir captura 5,スクリーンショット5を開く,스크린샷 5 열기,打开截图 5,打開截圖 5
image.share_card.alt,Alt text | Social share image,{Sushi Ben} promotional artwork,Werbegrafik von {Sushi Ben},Arte promocional de {Sushi Ben},Illustration promotionnelle de {Sushi Ben},Artwork promozionale di {Sushi Ben},Arte promocional de {Sushi Ben},{Sushi Ben} プロモーションアート,{Sushi Ben} 프로모션 아트,{Sushi Ben} 宣传美术图,{Sushi Ben} 宣傳美術圖
image.store.meta.alt,Alt text | Store logo image,{Meta Quest} logo,Logo von {Meta Quest},Logotipo de {Meta Quest},Logo de {Meta Quest},Logo di {Meta Quest},Logo da {Meta Quest},{Meta Quest} のロゴ,{Meta Quest} 로고,{Meta Quest} 标志,{Meta Quest} 標誌
image.store.pico.alt,Alt text | Store logo image,{PICO} logo,Logo von {PICO},Logotipo de {PICO},Logo de {PICO},Logo di {PICO},Logo da {PICO},{PICO} のロゴ,{PICO} 로고,{PICO} 标志,{PICO} 標誌
image.store.playstation.alt,Alt text | Store logo image,{PlayStation} logo,Logo von {PlayStation},Logotipo de {PlayStation},Logo de {PlayStation},Logo di {PlayStation},Logo da {PlayStation},{PlayStation} のロゴ,{PlayStation} 로고,{PlayStation} 标志,{PlayStation} 標誌
image.store.steam.alt,Alt text | Store logo image,{Steam} logo,Logo von {Steam},Logotipo de {Steam},Logo de {Steam},Logo di {Steam},Logo da {Steam},{Steam} のロゴ,{Steam} 로고,{Steam} 标志,{Steam} 標誌
image.store.stove.alt,Alt text | Store logo image,{STOVE} logo,Logo von {STOVE},Logotipo de {STOVE},Logo de {STOVE},Logo di {STOVE},Logo da {STOVE},{STOVE} のロゴ,{STOVE} 로고,{STOVE} 标志,{STOVE} 標誌
image.store.viveport.alt,Alt text | Store logo image,{HTC VIVEPORT} logo,Logo von {HTC VIVEPORT},Logotipo de {HTC VIVEPORT},Logo de {HTC VIVEPORT},Logo di {HTC VIVEPORT},Logo da {HTC VIVEPORT},{HTC VIVEPORT} のロゴ,{HTC VIVEPORT} 로고,{HTC VIVEPORT} 标志,{HTC VIVEPORT} 標誌
lang.aria_label,Aria label | Language switcher,Language,Sprache,Idioma,Langue,Lingua,Idioma,言語,언어,语言,語言
lang.summary,Accessibility text | Language switcher,Language: {language},Sprache: {language},Idioma: {language},Langue : {language},Lingua: {language},Idioma: {language},言語: {language},언어: {language},语言：{language},語言：{language}
legal.back_home,Button label | Back to home button on legal and secondary pages,Back to Home,Zurück zur Startseite,Volver al inicio,Retour à l’accueil,Torna alla home,Voltar para a página inicial,ホームへ戻る,홈으로 돌아가기,返回首页,返回首頁
page.404.title,Page title | 404 page,Page Not Found,Seite nicht gefunden,Página no encontrada,Page introuvable,Pagina non trovata,Página não encontrada,ページが見つかりません,페이지를 찾을 수 없습니다,页面未找到,頁面未找到
"page.404.description","Meta description | 404 page","The page you requested could not be found. Return to the Sushi Ben homepage.","Die angeforderte Seite konnte nicht gefunden werden. Kehren Sie zur Startseite von Sushi Ben zurück.","No se pudo encontrar la página solicitada. Vuelve a la página principal de Sushi Ben.","La page demandée est introuvable. Revenez à la page d’accueil de Sushi Ben.","La pagina richiesta non è stata trovata. Torna alla home di Sushi Ben.","A página solicitada não foi encontrada. Volte para a página inicial de Sushi Ben.","お探しのページは見つかりませんでした。Sushi Ben のホームページに戻ってください。","요청하신 페이지를 찾을 수 없습니다. Sushi Ben 홈으로 돌아가세요.","未找到你请求的页面。请返回 Sushi Ben 首页。","找不到你要求的頁面。請返回 Sushi Ben 首頁。"
404.kicker,Kicker text | 404 page,Wrong Neighborhood,Falsche Gegend,Barrio equivocado,Mauvais quartier,Quartiere sbagliato,Bairro errado,違う町に来たみたい,잘못 들어온 동네,走错街区了,走錯街區了
404.heading,Heading | 404 page,Botan couldn't find that page either.,Botan konnte diese Seite auch nicht finden.,Botan tampoco pudo encontrar esa página.,Botan n’a pas réussi à trouver cette page non plus.,Nemmeno Botan è riuscita a trovare quella pagina.,Nem a Botan conseguiu encontrar essa página.,ボタンもそのページを見つけられませんでした。,"보탄도 그 페이지를 찾지 못했어요.",Botan 也没能找到那个页面。,Botan 也沒能找到那個頁面。
"404.body1","Body text | 404 page","The page you were looking for has wandered off somewhere in Kotobuki Town.","Die Seite, die Sie gesucht haben, ist irgendwo in Kotobuki Town verloren gegangen.","La página que buscabas se perdió por algún rincón de Kotobuki Town.","La page que vous cherchiez s’est égarée quelque part dans Kotobuki Town.","La pagina che cercavi si è persa da qualche parte a Kotobuki Town.","A página que você procurava se perdeu em algum canto de Kotobuki Town.","探していたページはコトブキタウンのどこかへ迷い込んでしまったようです。","찾고 있던 페이지가 코토부키 타운 어딘가로 사라진 모양입니다.","你要找的页面似乎跑到 Kotobuki Town 的某个角落去了。","你要找的頁面似乎跑到 Kotobuki Town 的某個角落去了。"
"404.body2","Body text | 404 page","Head back to the main site, browse the press kit, or jump straight to the contact section.","Gehen Sie zurück zur Hauptseite, stöbern Sie im Pressekit oder springen Sie direkt zum Kontaktbereich.","Vuelve al sitio principal, explora el kit de prensa o salta directamente a la sección de contacto.","Retournez au site principal, parcourez le kit de presse ou accédez directement à la section contact.","Torna al sito principale, sfoglia il press kit oppure vai direttamente alla sezione contatti.","Volte para o site principal, navegue pelo kit de imprensa ou vá direto para a seção de contato.","メインサイトに戻るか、プレスキットを見るか、そのままお問い合わせ欄へ進めます。","메인 사이트로 돌아가거나, 프레스 키트를 둘러보거나, 바로 문의 섹션으로 이동할 수 있습니다.","你可以返回主站、浏览媒体资料包，或直接前往联系部分。","你可以返回主站、瀏覽媒體資料包，或直接前往聯絡部分。"
nav.about,Link label | Header navigation,About,Über,Acerca de,À propos,Informazioni,Sobre,概要,소개,关于,關於
nav.buy,Link label | Header navigation,Play,Spielen,Jugar,Jouer,Gioca,Jogar,遊ぶ,플레이,游玩,遊玩
nav.cast,Link label | Header navigation,Cast,Besetzung,Reparto,Casting,Cast,Elenco,キャスト,출연진,演员,演員
nav.contact,Link label | Header navigation,Contact,Kontakt,Contacto,Contact,Contatti,Contato,お問い合わせ,문의,联系,聯絡
nav.features,Link label | Header navigation,Features,Features,Características,Fonctionnalités,Caratteristiche,Recursos,特徴,특징,特色,特色
nav.media,Link label | Header navigation,Media,Medien,Media,Médias,Media,Mídia,メディア,미디어,媒体,媒體
nav.menu,Link label | Header navigation,Menu,Menü,Menú,Menu,Menu,Menu,メニュー,메뉴,菜单,選單
nav.merch,Link label | Header navigation,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop
nav.press_kit,Link label | Header navigation,Press Kit,Pressekit,Kit de prensa,Kit de presse,Press Kit,Kit de imprensa,プレスキット,프레스 키트,媒体资料包,媒體資料包
nav.team,Link label | Header navigation,Team,Team,Equipo,Équipe,Team,Equipe,チーム,팀,团队,團隊
page.shop.title,Page title | Shop page,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop
page.shop.description,Meta description | Shop page,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.,Official Sushi Ben stickers with free shipping in the United States.
site.description,Meta description | Shared metadata,Save a beloved local sushi bar from dastardly landsharks in this cozy narrative adventure full of unforgettable friends.,Rette in diesem gemütlichen Erzählabenteuer voller unvergesslicher Freunde eine geliebte lokale Sushi-Bar vor hinterhältigen Landspekulanten.,Salva un querido sushi bar local de unos malvados especuladores en esta acogedora aventura narrativa llena de amigos inolvidables.,Sauvez un bar à sushi local bien-aimé des griffes de prédateurs immobiliers sans scrupules dans cette aventure narrative chaleureuse pleine d’amis inoubliables.,Salva un amato sushi bar locale da perfidi speculatori in questa accogliente avventura narrativa piena di amici indimenticabili.,Salve um querido sushi bar local das mãos de especuladores inescrupulosos nesta aconchegante aventura narrativa cheia de amigos inesquecíveis.,忘れられない仲間たちに出会う、心あたたまる物語アドベンチャーで、悪どい“ランドシャーク”から愛される地元の寿司バーを守ろう。,"잊지 못할 친구들로 가득한 포근한 내러티브 어드벤처에서, 악덕 투기꾼들로부터 사랑받는 동네 스시 바를 지켜내세요.",在这款温馨的叙事冒险中，结识令人难忘的伙伴，并从可恶的地产掠夺者手中拯救深受喜爱的本地寿司店。,在這款溫馨的敘事冒險中，結識令人難忘的夥伴，並從可惡的地產掠奪者手中拯救深受喜愛的在地壽司店。
site.title,Site title | Shared metadata,"{Sushi Ben} | A Cozy, Anime-Inspired Adventure","{Sushi Ben} | Ein gemütliches, vom Anime inspiriertes Abenteuer",{Sushi Ben} | Una acogedora aventura inspirada en el anime,{Sushi Ben} | Une aventure chaleureuse inspirée des anime,{Sushi Ben} | Un’accogliente avventura ispirata agli anime,{Sushi Ben} | Uma aventura aconchegante inspirada em anime,{Sushi Ben} | 心あたたまるアニメ風アドベンチャー,{Sushi Ben} | 포근한 애니메이션풍 어드벤처,{Sushi Ben} | 温馨的动画风冒险,{Sushi Ben} | 溫馨的動畫風冒險
